timestamp,ecu_id,engine_rpm,coolant_temp_c,battery_voltage,vehicle_speed_kmh,can_bus_load_pct,dtc_codes
2024-01-15 08:00:01,ZCU_Front,850,72.1,12.6,0.0,32.4,
2024-01-15 08:00:02,ZCU_Front,1200,73.5,12.5,15.3,34.1,
2024-01-15 08:00:03,ADAS_ECU,2500,78.2,12.4,45.0,41.2,
2024-01-15 08:00:04,ZCU_Front,3100,82.0,12.3,72.5,45.6,
2024-01-15 08:00:05,Gateway,3100,88.5,12.2,72.5,71.2,U0073
2024-01-15 08:00:06,ZCU_Front,3400,93.0,12.1,80.0,74.8,P0217
2024-01-15 08:00:07,ADAS_ECU,3400,97.5,11.8,80.0,78.3,P0217|C0035
2024-01-15 08:00:08,Gateway,3600,105.2,10.9,85.0,88.1,P0217|U0100
2024-01-15 08:00:09,ZCU_Front,3600,110.8,10.2,85.0,91.5,P0217|P0562
2024-01-15 08:00:10,Body_Ctrl,800,108.3,9.8,0.0,22.1,P0217|P0562|B0001
